Common_name,median_temperature,percentile_75th,Exclude,Reason
Pinion-spotted Pug,9.498470258,9.727951127,1,75th centile temperature > 9.52
Fox Moth,8.708977973,9.729836765,1,75th centile temperature > 9.52
May Highflyer,9.378907194,9.733694787,1,75th centile temperature > 9.52
White Ermine,9.359665189,9.734390942,1,75th centile temperature > 9.52
Shoulder Stripe,9.439835688,9.73446465,1,75th centile temperature > 9.52
Large Yellow Underwing,9.3187358,9.734791335,1,75th centile temperature > 9.52
Burnished Brass,9.37303243,9.734882263,1,75th centile temperature > 9.52
Dotted Border,9.421022513,9.735609341,1,75th centile temperature > 9.52
Brown Silver-line,9.361101833,9.73564378,1,75th centile temperature > 9.52
Lunar Yellow Underwing,9.545805296,9.73564378,1,75th centile temperature > 9.52
Mottled Beauty,9.373875395,9.736412293,1,75th centile temperature > 9.52
Snout,9.361405963,9.736774147,1,75th centile temperature > 9.52
Common Carpet,9.358232807,9.736957546,1,75th centile temperature > 9.52
Common Pug,9.378099399,9.736957546,1,75th centile temperature > 9.52
Dotted Footman,9.671748709,9.736957546,1,75th centile temperature > 9.52
Reed Leopard,9.693632358,9.736957546,1,75th centile temperature > 9.52
Ghost Moth,9.360337107,9.737624809,1,75th centile temperature > 9.52
November Moth,9.450715107,9.739626596,1,75th centile temperature > 9.52
Streamer,9.416798853,9.740273459,1,75th centile temperature > 9.52
Large Twin-spot Carpet,9.541266912,9.740273459,1,75th centile temperature > 9.52
Spring Usher,9.437075841,9.740920321,1,75th centile temperature > 9.52
Dark Tussock,7.979842565,9.741023872,1,75th centile temperature > 9.52
Pebble Hook-tip,9.436394026,9.741567183,1,75th centile temperature > 9.52
Tissue,9.433452243,9.742114627,1,75th centile temperature > 9.52
Brimstone Moth,9.360632435,9.742166314,1,75th centile temperature > 9.52
Chestnut,9.422502414,9.742618948,1,75th centile temperature > 9.52
Shears,9.299127857,9.74302385,1,75th centile temperature > 9.52
Rufous Minor,9.450715107,9.74302385,1,75th centile temperature > 9.52
Grey Birch,9.481923795,9.74302385,1,75th centile temperature > 9.52
Common Lutestring,9.343809198,9.743833655,1,75th centile temperature > 9.52
Beautiful Carpet,9.380924033,9.743833655,1,75th centile temperature > 9.52
Foxglove Pug,9.360116122,9.744321105,1,75th centile temperature > 9.52
Fletcher's Pug,9.567314992,9.74460187,1,75th centile temperature > 9.52
Merveille du Jour,9.439749642,9.744808555,1,75th centile temperature > 9.52
Scarce Tissue,9.524882558,9.744808555,1,75th centile temperature > 9.52
Common Fan-foot,9.63346704,9.744975288,1,75th centile temperature > 9.52
Silvery Arches,9.368049369,9.745215701,1,75th centile temperature > 9.52
Scalloped Hazel,9.396182983,9.745357639,1,75th centile temperature > 9.52
Brick,9.412575192,9.745783455,1,75th centile temperature > 9.52
Shoulder-striped Wainscot,9.439921733,9.745783455,1,75th centile temperature > 9.52
Clouded Buff,9.002142725,9.746105328,1,75th centile temperature > 9.52
Brindled Green,9.466222439,9.746673272,1,75th centile temperature > 9.52
Poplar Hawk-moth,9.384280618,9.746789329,1,75th centile temperature > 9.52
Twin-spotted Quaker,9.461280986,9.746789329,1,75th centile temperature > 9.52
Scalloped Hook-tip,9.472387922,9.746789329,1,75th centile temperature > 9.52
Common Marbled Carpet,9.359886173,9.74712462,1,75th centile temperature > 9.52
Feathered Thorn,9.431192274,9.74712462,1,75th centile temperature > 9.52
Centre-barred Sallow,9.450715107,9.748026522,1,75th centile temperature > 9.52
Crescent,9.394358637,9.748774211,1,75th centile temperature > 9.52
Slender Pug,9.443022394,9.748887315,1,75th centile temperature > 9.52
Rosy Rustic,9.373628174,9.748916339,1,75th centile temperature > 9.52
Scarce Prominent,9.450083927,9.748916339,1,75th centile temperature > 9.52
Mere Wainscot,9.582815679,9.748987713,1,75th centile temperature > 9.52
Spinach,9.470659234,9.74924316,1,75th centile temperature > 9.52
Smoky Wainscot,9.361064905,9.749342723,1,75th centile temperature > 9.52
Tawny-barred Angle,9.398351754,9.749342723,1,75th centile temperature > 9.52
Dingy Shell,9.509837489,9.749669544,1,75th centile temperature > 9.52
Treble-bar,9.450715107,9.750176478,1,75th centile temperature > 9.52
Lunar Double-stripe,9.72588638,9.75026176,1,75th centile temperature > 9.52
Oblique Carpet,9.282454527,9.750598973,1,75th centile temperature > 9.52
Brindled Pug,9.443022394,9.750650009,1,75th centile temperature > 9.52
March Moth,9.450715107,9.750650009,1,75th centile temperature > 9.52
Fenn's Wainscot,9.693381474,9.750840598,1,75th centile temperature > 9.52
Double-square Spot,9.424347157,9.750968893,1,75th centile temperature > 9.52
Garden Carpet,9.380072581,9.751273819,1,75th centile temperature > 9.52
Square-spot Rustic,9.382526933,9.751426282,1,75th centile temperature > 9.52
Flame Shoulder,9.369634956,9.751578745,1,75th centile temperature > 9.52
Barred Umber,9.405722164,9.751578745,1,75th centile temperature > 9.52
Yellow-line Quaker,9.412575192,9.751578745,1,75th centile temperature > 9.52
Ling Pug,9.397700311,9.751766252,1,75th centile temperature > 9.52
Sloe Pug,9.454622416,9.751889736,1,75th centile temperature > 9.52
Little Emerald,9.50675203,9.751953759,1,75th centile temperature > 9.52
Satin Beauty,9.468138419,9.752134133,1,75th centile temperature > 9.52
Tawny Speckled Pug,9.439835688,9.752778377,1,75th centile temperature > 9.52
Pine Beauty,9.481923795,9.752928245,1,75th centile temperature > 9.52
Canary-shouldered Thorn,9.440427506,9.753146258,1,75th centile temperature > 9.52
Garden Tiger,9.387818746,9.753364272,1,75th centile temperature > 9.52
Common Wave,9.398879225,9.753364272,1,75th centile temperature > 9.52
Mottled Pug,9.48872965,9.753501943,1,75th centile temperature > 9.52
Small Quaker,9.455277245,9.753582286,1,75th centile temperature > 9.52
Small Square-spot,9.402339224,9.753800299,1,75th centile temperature > 9.52
Lilac Beauty,9.504800809,9.753800299,1,75th centile temperature > 9.52
Silver Y,9.381591606,9.756215772,1,75th centile temperature > 9.52
Peppered Moth,9.437730927,9.756767398,1,75th centile temperature > 9.52
Grey Dagger,9.485030118,9.757248441,1,75th centile temperature > 9.52
Dark Spectacle,9.439921733,9.758322381,1,75th centile temperature > 9.52
Riband Wave,9.419690048,9.758605355,1,75th centile temperature > 9.52
Mouse Moth,9.430919432,9.75888833,1,75th centile temperature > 9.52
Oak Beauty,9.490227893,9.759045043,1,75th centile temperature > 9.52
Lesser Yellow Underwing,9.37908599,9.760456708,1,75th centile temperature > 9.52
Pimpinel Pug,9.528884952,9.761756048,1,75th centile temperature > 9.52
Heart & Dart,9.422502414,9.765099623,1,75th centile temperature > 9.52
Pebble Prominent,9.473511776,9.765161841,1,75th centile temperature > 9.52
Sandy Carpet,9.450715107,9.765178198,1,75th centile temperature > 9.52
Golden Plusia,9.50675203,9.765178198,1,75th centile temperature > 9.52
Engrailed,9.46187243,9.765186376,1,75th centile temperature > 9.52
Small Fan-foot,9.472840269,9.765186376,1,75th centile temperature > 9.52
Beautiful Brocade,9.526454044,9.765655547,1,75th centile temperature > 9.52
Blomer's Rivulet,9.347607409,9.766638961,1,75th centile temperature > 9.52
Lesser Broad-bordered Yellow Underwing,9.418357583,9.767062942,1,75th centile temperature > 9.52
Dun-bar,9.442479345,9.767062942,1,75th centile temperature > 9.52
Early Thorn,9.431623239,9.767067268,1,75th centile temperature > 9.52
