Common_name,Hectad,Time_period,Exclude
Sword-grass,SU58,1975-1991,0
Gold Spangle,SU67,1975-1991,1
Red Sword-grass,SU74,2012-2016,0
Great Brocade,SU79,1975-1991,1
Red Sword-grass,SU82,2012-2016,0
Angle-striped Sallow,SU83,1975-1991,1
Red Sword-grass,SU84,1975-1991,0
Great Brocade,SU88,1975-1991,1
Red Sword-grass,SU91,2012-2016,0
Red Sword-grass,SV91,2012-2016,0
Red Sword-grass,SW64,1975-1991,0
Red Sword-grass,SW71,2012-2016,0
Sword-grass,SX05,1975-1991,0
Red Sword-grass,SX08,2012-2016,0
Red Sword-grass,SX16,2012-2016,0
Red Sword-grass,SX25,2012-2016,0
Red Sword-grass,SX35,2012-2016,0
Red Sword-grass,SX37,2012-2016,0
Red Sword-grass,SX44,2012-2016,0
Red Sword-grass,SX46,2012-2016,0
Red Sword-grass,SX47,2012-2016,0
Red Sword-grass,SX57,2012-2016,0
Red Sword-grass,SX65,2012-2016,0
Red Sword-grass,SX67,2012-2016,0
Red Sword-grass,SX69,2012-2016,0
Red Sword-grass,SX75,2012-2016,0
Red Sword-grass,SX76,2012-2016,0
Red Sword-grass,SX77,1975-1991,0
Red Sword-grass,SX78,2012-2016,0
Red Sword-grass,SX86,2012-2016,0
Red Sword-grass,SX87,2012-2016,0
Red Sword-grass,SY08,2012-2016,0
Red Sword-grass,SY49,2012-2016,0
Red Sword-grass,SY66,2012-2016,0
Angle-striped Sallow,SY66,1975-1991,1
Red Sword-grass,SY68,2012-2016,0
Red Sword-grass,SY79,2012-2016,0
Red Sword-grass,SY88,2012-2016,0
Red Sword-grass,SY89,2012-2016,0
Red Sword-grass,SY98,1975-1991,0
Red Sword-grass,SY98,2012-2016,0
Angle-striped Sallow,SY98,1975-1991,1
Sword-grass,SZ07,1975-1991,0
Red Sword-grass,SZ07,1975-1991,0
Red Sword-grass,SZ07,2012-2016,0
Red Sword-grass,SZ08,1975-1991,0
Red Sword-grass,SZ08,2012-2016,0
Red Sword-grass,SZ09,1975-1991,0
Red Sword-grass,SZ09,2012-2016,0
Red Sword-grass,SZ19,2012-2016,0
Gold Spangle,SZ38,2012-2016,1
Scarce Silver Y,SZ38,2012-2016,1
Sword-grass,SZ38,1975-1991,0
Red Sword-grass,SZ38,2012-2016,0
Red Sword-grass,SZ39,2012-2016,0
Red Sword-grass,SZ89,2012-2016,0
Angle-striped Sallow,TA02,2012-2016,0
Gold Spangle,TA06,1975-1991,0
Gold Spangle,TA06,2012-2016,0
Golden-rod Brindle,TA06,1975-1991,0
Red Sword-grass,TA06,1975-1991,0
Great Brocade,TA06,1975-1991,1
Gold Spangle,TA07,1975-1991,0
Gold Spangle,TA07,2012-2016,0
Sword-grass,TA07,1975-1991,0
Red Sword-grass,TA07,1975-1991,0
Red Sword-grass,TA07,2012-2016,0
Gold Spangle,TA08,1975-1991,0
Gold Spangle,TA08,2012-2016,0
Sword-grass,TA14,1975-1991,0
Angle-striped Sallow,TA14,2012-2016,0
Gold Spangle,TA16,2012-2016,0
Angle-striped Sallow,TA16,2012-2016,0
Red Sword-grass,TA17,2012-2016,0
Gold Spangle,TA23,1975-1991,0
Gold Spangle,TA26,1975-1991,0
Gold Spangle,TA27,2012-2016,0
Great Brocade,TA27,2012-2016,1
Red Sword-grass,TA31,2012-2016,0
Great Brocade,TA31,2012-2016,1
Gold Spangle,TA41,1975-1991,0
Scarce Silver Y,TA41,2012-2016,1
Red Sword-grass,TA41,1975-1991,0
Great Brocade,TA41,1975-1991,1
Great Brocade,TA41,2012-2016,1
Gold Spangle,TF00,1975-1991,0
Angle-striped Sallow,TF00,1975-1991,0
Great Brocade,TF02,2012-2016,1
Gold Spangle,TF10,2012-2016,0
Angle-striped Sallow,TF18,2012-2016,0
Angle-striped Sallow,TF47,2012-2016,0
Gold Spangle,TF55,2012-2016,1
Great Brocade,TF55,1975-1991,1
Gold Spangle,TF56,2012-2016,1
Great Brocade,TF62,2012-2016,1
Scarce Silver Y,TF63,2012-2016,1
Angle-striped Sallow,TF63,2012-2016,1
Great Brocade,TF63,2012-2016,1
Gold Spangle,TF64,2012-2016,1
Great Brocade,TF70,1975-1991,1
Golden-rod Brindle,TF74,1975-1991,1
Great Brocade,TF74,1975-1991,1
Great Brocade,TF74,2012-2016,1
Great Brocade,TG01,2012-2016,1
Gold Spangle,TG04,1975-1991,1
Scarce Silver Y,TG04,2012-2016,1
Great Brocade,TG04,1975-1991,1
Great Brocade,TG04,2012-2016,1
Great Brocade,TG11,1975-1991,1
Scarce Silver Y,TG13,2012-2016,1
Great Brocade,TG13,1975-1991,1
Great Brocade,TG13,2012-2016,1
Great Brocade,TG14,2012-2016,1
Great Brocade,TG20,1975-1991,1
Great Brocade,TG21,1975-1991,1
Great Brocade,TG22,1975-1991,1
Great Brocade,TG23,2012-2016,1
Gold Spangle,TG24,2012-2016,1
Great Brocade,TG30,2012-2016,1
Scarce Silver Y,TG31,1975-1991,1
Great Brocade,TG31,2012-2016,1
Great Brocade,TG32,1975-1991,1
Red Sword-grass,TG33,2012-2016,1
Great Brocade,TG33,2012-2016,1
Great Brocade,TG41,1975-1991,1
Gold Spangle,TG42,1975-1991,1
Gold Spangle,TG42,2012-2016,1
Scarce Silver Y,TG42,1975-1991,1
Scarce Silver Y,TG42,2012-2016,1
Golden-rod Brindle,TG42,1975-1991,1
Red Sword-grass,TG42,2012-2016,1
Great Brocade,TG42,1975-1991,1
Great Brocade,TG42,2012-2016,1
Sword-grass,TL03,1975-1991,0
Great Brocade,TL05,1975-1991,1
Gold Spangle,TL09,2012-2016,0
Red Sword-grass,TL09,2012-2016,1
Angle-striped Sallow,TL09,1975-1991,0
Great Brocade,TL11,1975-1991,1
Scarce Silver Y,TL24,2012-2016,1
Great Brocade,TL25,1975-1991,1
Great Brocade,TL27,1975-1991,1
Great Brocade,TL27,2012-2016,1
Scarce Silver Y,TL28,2012-2016,1
Angle-striped Sallow,TL30,1975-1991,1
Great Brocade,TL38,1975-1991,1
Gold Spangle,TL41,1975-1991,1
Great Brocade,TL41,1975-1991,1
Scarce Silver Y,TL46,2012-2016,1
Scarce Silver Y,TL54,1975-1991,1
Great Brocade,TL54,1975-1991,1
Great Brocade,TL55,2012-2016,1
Great Brocade,TL60,1975-1991,1
Gold Spangle,TL79,1975-1991,1
Red Sword-grass,TL90,1975-1991,1
Great Brocade,TL90,1975-1991,1
Red Sword-grass,TM11,1975-1991,1
Great Brocade,TM11,1975-1991,1
Great Brocade,TM12,1975-1991,1
Great Brocade,TM23,1975-1991,1
Great Brocade,TM23,2012-2016,1
Scarce Silver Y,TM33,2012-2016,1
Great Brocade,TM34,2012-2016,1
Red Sword-grass,TQ01,2012-2016,1
Red Sword-grass,TQ02,2012-2016,1
Scarce Silver Y,TQ04,1975-1991,1
Red Sword-grass,TQ05,1975-1991,1
Red Sword-grass,TQ09,2012-2016,1
Scarce Silver Y,TQ10,2012-2016,1
Sword-grass,TQ22,1975-1991,0
Great Brocade,TQ25,1975-1991,1
Red Sword-grass,TQ30,2012-2016,1
Red Sword-grass,TQ32,2012-2016,1
Great Brocade,TQ35,2012-2016,1
Angle-striped Sallow,TQ36,1975-1991,1
Great Brocade,TQ36,1975-1991,1
Great Brocade,TQ37,1975-1991,1
Red Sword-grass,TQ43,2012-2016,1
Scarce Silver Y,TQ49,2012-2016,1
Sword-grass,TQ49,1975-1991,0
Angle-striped Sallow,TQ71,1975-1991,1
Sword-grass,TQ82,1975-1991,0
Red Sword-grass,TQ86,2012-2016,1
Great Brocade,TQ88,1975-1991,1
Scarce Silver Y,TQ93,1975-1991,1
Great Brocade,TQ97,2012-2016,1
Red Sword-grass,TR35,2012-2016,1
Great Brocade,TR35,2012-2016,1
Great Brocade,TR36,1975-1991,1
Great Brocade,TR37,1975-1991,1
