"Hectad","n_recs"
"NY30",1961
"NY31",139
"NY32",297
"NY33",83
"NY34",70
"NY35",4611
"NY36",404
"NY37",362
"NY38",1
"NY39",213
"NY40",326
"NY41",382
"NY42",135
"NY43",1700
"NY44",74
"NY45",4580
"NY46",452
"NY47",142
"NY48",1513
"NY49",127
"NY50",200
"NY51",2312
"NY52",648
"NY53",238
"NY54",3168
"NY55",1953
"NY56",6591
"NY57",372
"NY58",436
"NY59",1222
"NY60",602
"NY61",1591
"NY62",1142
"NY63",355
"NY64",246
"NY65",3280
"NY66",195
"NY67",189
"NY68",509
"NY69",35339
"NY70",462
"NY71",526
"NY72",82
"NY73",1068
"NY74",1455
"NY75",345
"NY76",437
"NY77",2167
"NY78",344
"NY79",3
"NY80",74
"NY81",50
"NY82",140
"NY83",5940
"NY84",103
"NY85",1969
"NY86",3138
"NY87",1626
"NY88",207
"NY89",2819
"NY90",11
"NY91",205
"NY92",6590
"NY93",2059
"NY94",1316
"NY95",6542
"NY96",3729
"NY97",1717
"NY98",1578
"NY99",454
"NZ00",165
"NZ01",3575
"NZ02",353
"NZ03",19055
"NZ04",790
"NZ05",4971
"NZ06",5356
"NZ07",10
"NZ08",243
"NZ09",572
"NZ10",203
"NZ11",109
"NZ12",5756
"NZ13",1831
"NZ14",1788
"NZ15",14328
"NZ16",4991
"NZ17",397
"NZ18",1635
"NZ19",391
"NZ20",36
"NZ21",1196
"NZ22",10236
"NZ23",204
"NZ24",10399
"NZ25",28741
"NZ26",10354
"NZ27",15974
"NZ28",4084
"NZ29",3918
"NZ30",5908
"NZ31",158
"NZ32",22
"NZ33",2642
"NZ34",316
"NZ35",6214
"NZ36",7391
"NZ37",39915
"NZ38",23
"NZ39",16
"NZ40",53
"NZ41",5938
"NZ42",437
"NZ43",14348
"NZ44",303
"NZ45",62
"NZ46",3665
"NZ50",1817
"NZ51",1324
"NZ52",2759
"NZ53",19
"NZ60",266
"NZ61",25731
"NZ62",1470
"NZ70",6510
"NZ71",876
"NZ72",95
"NZ80",4017
"NZ81",669
"NZ90",314
"NZ91",42
"OV00",2
"SC16",3830
"SC17",35
