"HECTAD","TIME.PERIOD","EASTING","NORTHING","HECTAD.SR","REGION.SR","PERCENT.RECORDED","RECORDING.LEVEL","lon","lat"
"SN63","1975-1991",260000,230000,4,561,0.71301247771836,"Recorded",-4.03853392364132,51.950821171507
"SN64","2012-2016",260000,240000,34,553,6.14828209764919,"Recorded",-4.04262089272608,52.0406710906303
"SN64","1975-1991",260000,240000,7,561,1.24777183600713,"Recorded",-4.04262089272608,52.0406710906303
"SN65","2012-2016",260000,250000,128,551,23.2304900181488,"Well recorded",-4.04672930685622,52.1305194015103
"SN65","1975-1991",260000,250000,29,556,5.2158273381295,"Recorded",-4.04672930685622,52.1305194015103
"SN66","2012-2016",260000,260000,341,544,62.6838235294118,"Heavily recorded",-4.05085931567989,52.2203661036353
"SN66","1975-1991",260000,260000,381,549,69.3989071038251,"Heavily recorded",-4.05085931567989,52.2203661036353
"SN67","2012-2016",260000,270000,41,537,7.63500931098696,"Recorded",-4.05501107027783,52.3102111964913
"SN67","1975-1991",260000,270000,210,542,38.7453874538745,"Heavily recorded",-4.05501107027783,52.3102111964913
"SN68","2012-2016",260000,280000,348,537,64.804469273743,"Heavily recorded",-4.05918472318039,52.4000546795622
"SN68","1975-1991",260000,280000,405,540,75,"Heavily recorded",-4.05918472318039,52.4000546795622
"SN69","2012-2016",260000,290000,370,536,69.0298507462687,"Heavily recorded",-4.06338042838479,52.4898965523292
"SN69","1975-1991",260000,290000,361,541,66.728280961183,"Heavily recorded",-4.06338042838479,52.4898965523292
"SN70","2012-2016",270000,200000,5,574,0.871080139372822,"Recorded",-3.88184457415444,51.6836675659264
"SN70","1975-1991",270000,200000,1,583,0.171526586620926,"Recorded",-3.88184457415444,51.6836675659264
"SN71","2012-2016",270000,210000,95,564,16.8439716312057,"Well recorded",-3.88558153725984,51.7735300290916
"SN71","1975-1991",270000,210000,2,578,0.346020761245675,"Recorded",-3.88558153725984,51.7735300290916
"SN72","2012-2016",270000,220000,277,556,49.8201438848921,"Heavily recorded",-3.88933801151878,51.8633909161275
"SN72","1975-1991",270000,220000,3,569,0.527240773286467,"Recorded",-3.88933801151878,51.8633909161275
"SN74","2012-2016",270000,240000,247,555,44.5045045045045,"Heavily recorded",-3.89691003532999,52.0431079606739
"SN74","1975-1991",270000,240000,365,561,65.0623885918004,"Heavily recorded",-3.89691003532999,52.0431079606739
"SN75","2012-2016",270000,250000,70,554,12.6353790613718,"Well recorded",-3.90072585902674,52.1329641176167
"SN75","1975-1991",270000,250000,17,560,3.03571428571429,"Recorded",-3.90072585902674,52.1329641176167
"SN76","2012-2016",270000,260000,234,541,43.2532347504621,"Heavily recorded",-3.90456174219654,52.2228186972945
"SN76","1975-1991",270000,260000,279,553,50.4520795660036,"Heavily recorded",-3.90456174219654,52.2228186972945
"SN77","2012-2016",270000,270000,310,536,57.8358208955224,"Heavily recorded",-3.90841782520889,52.3126716994237
"SN77","1975-1991",270000,270000,218,540,40.3703703703704,"Heavily recorded",-3.90841782520889,52.3126716994237
"SN78","2012-2016",270000,280000,56,534,10.4868913857678,"Well recorded",-3.91229424978043,52.4025231237205
"SN78","1975-1991",270000,280000,33,535,6.16822429906542,"Recorded",-3.91229424978043,52.4025231237205
"SN79","2012-2016",270000,290000,334,544,61.3970588235294,"Heavily recorded",-3.91619115899107,52.4923729699009
"SN79","1975-1991",270000,290000,53,536,9.88805970149254,"Recorded",-3.91619115899107,52.4923729699009
"SN80","2012-2016",280000,200000,273,583,46.8267581475129,"Heavily recorded",-3.73726955992536,51.6858955378957
